nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix.yaml, seed=0, device=cuda
step     500 | wellbeing 0.159 | wm_loss 2.4619 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 0 | eps 1.00
step    1000 | wellbeing 0.020 | wm_loss 2.0795 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 0 | eps 1.00
step    1500 | wellbeing 0.000 | wm_loss 1.8443 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 0 | eps 1.00
step    2000 | wellbeing 0.000 | wm_loss 1.7224 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 0 | eps 1.00
step    2500 | wellbeing 0.206 | wm_loss 1.7765 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 3 | morts 1 | eps 1.00
step    3000 | wellbeing 0.294 | wm_loss 1.7601 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 3 | morts 2 | eps 1.00
step    3500 | wellbeing 0.159 | wm_loss 1.8056 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 3 | eps 1.00
step    4000 | wellbeing 0.023 | wm_loss 1.7601 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 4 | morts 3 | eps 1.00
step    4500 | wellbeing 0.020 | wm_loss 1.7205 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 3 | eps 1.00
step    5000 | wellbeing 0.000 | wm_loss 1.6985 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 3 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step    5500 | wellbeing 0.155 | wm_loss 1.7353 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 4 | eps 1.00
step    6000 | wellbeing 0.000 | wm_loss 1.6873 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 1 | morts 4 | eps 1.00
step    6500 | wellbeing 0.000 | wm_loss 1.7180 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 4 | eps 1.00
step    7000 | wellbeing 0.156 | wm_loss 1.7203 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 5 | eps 1.00
step    7500 | wellbeing 0.115 | wm_loss 1.7883 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 6 | eps 1.00
step    8000 | wellbeing 0.246 | wm_loss 1.7000 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 7 | eps 1.00
step    8500 | wellbeing 0.021 | wm_loss 1.7000 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 1 | morts 7 | eps 1.00
step    9000 | wellbeing 0.302 | wm_loss 1.7102 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 9 | eps 1.00
step    9500 | wellbeing 0.298 | wm_loss 1.8149 | td 0.0000 | planner 0.00 | seuil None | eau 5 | bouffe 3 | morts 10 | eps 1.00
