nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix_buf500k.yaml, seed=0, device=cuda
step     500 | wellbeing 0.159 | wm_loss 2.4426 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 0 | eps 1.00
step    1000 | wellbeing 0.000 | wm_loss 1.8959 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 0 | eps 1.00
step    1500 | wellbeing 0.023 | wm_loss 1.8450 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 2 | morts 0 | eps 1.00
step    2000 | wellbeing 0.000 | wm_loss 1.7087 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 0 | eps 1.00
step    2500 | wellbeing 0.064 | wm_loss 1.6727 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 1 | eps 1.00
step    3000 | wellbeing 0.102 | wm_loss 1.7110 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 2 | morts 1 | eps 1.00
step    3500 | wellbeing 0.368 | wm_loss 1.7656 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 3 | morts 3 | eps 1.00
step    4000 | wellbeing 0.077 | wm_loss 1.6908 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 3 | eps 1.00
step    4500 | wellbeing 0.210 | wm_loss 1.7170 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 4 | eps 1.00
step    5000 | wellbeing 0.048 | wm_loss 1.7475 | td 0.0000 | planner 0.00 | seuil None | eau 4 | bouffe 1 | morts 5 | eps 1.00
step    5500 | wellbeing 0.111 | wm_loss 1.7101 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 5 | eps 1.00
step    6000 | wellbeing 0.000 | wm_loss 1.6941 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 5 | eps 1.00
step    6500 | wellbeing 0.000 | wm_loss 1.6555 | td 0.0000 | planner 0.00 | seuil None | eau 4 | bouffe 0 | morts 5 | eps 1.00
step    7000 | wellbeing 0.162 | wm_loss 1.6622 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 3 | morts 6 | eps 1.00
step    7500 | wellbeing 0.180 | wm_loss 1.6853 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 7 | eps 1.00
step    8000 | wellbeing 0.158 | wm_loss 1.6854 | td 0.0000 | planner 0.00 | seuil None | eau 4 | bouffe 1 | morts 8 | eps 1.00
step    8500 | wellbeing 0.157 | wm_loss 1.7318 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 9 | eps 1.00
step    9000 | wellbeing 0.027 | wm_loss 1.6870 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 3 | morts 9 | eps 1.00
step    9500 | wellbeing 0.048 | wm_loss 1.7232 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 5 | morts 9 | eps 1.00
step   10000 | wellbeing 0.159 | wm_loss 1.7375 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 10 | eps 1.00
step   10500 | wellbeing 0.189 | wm_loss 1.7226 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 11 | eps 1.00
step   11000 | wellbeing 0.293 | wm_loss 1.7118 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 12 | eps 1.00
step   11500 | wellbeing 0.319 | wm_loss 1.7233 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 0 | morts 14 | eps 1.00
step   12000 | wellbeing 0.229 | wm_loss 1.7619 | td 0.0000 | planner 0.00 | seuil None | eau 4 | bouffe 2 | morts 15 | eps 1.00
step   12500 | wellbeing 0.000 | wm_loss 1.7239 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 15 | eps 1.00
step   13000 | wellbeing 0.177 | wm_loss 1.7829 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 16 | eps 1.00
step   13500 | wellbeing 0.188 | wm_loss 1.7539 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 17 | eps 1.00
step   14000 | wellbeing 0.000 | wm_loss 1.7150 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 17 | eps 1.00
step   14500 | wellbeing 0.000 | wm_loss 1.7426 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 17 | eps 1.00
step   15000 | wellbeing 0.000 | wm_loss 1.7321 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 17 | eps 1.00
step   15500 | wellbeing 0.225 | wm_loss 1.7345 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 2 | morts 18 | eps 1.00
step   16000 | wellbeing 0.000 | wm_loss 1.7296 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 18 | eps 1.00
step   16500 | wellbeing 0.001 | wm_loss 1.7077 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 18 | eps 1.00
step   17000 | wellbeing 0.000 | wm_loss 1.7009 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 18 | eps 1.00
step   17500 | wellbeing 0.307 | wm_loss 1.7482 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 3 | morts 19 | eps 1.00
step   18000 | wellbeing 0.054 | wm_loss 1.7467 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 19 | eps 1.00
step   18500 | wellbeing 0.000 | wm_loss 1.7193 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 1 | morts 19 | eps 1.00
step   19000 | wellbeing 0.024 | wm_loss 1.6970 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 20 | eps 1.00
step   19500 | wellbeing 0.302 | wm_loss 1.7425 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 4 | morts 21 | eps 1.00
step   20000 | wellbeing 0.479 | wm_loss 1.7640 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 2 | morts 22 | eps 1.00
